Inventor,Text
alan_turing,
alexander_graham_bell,
benjamin_franklin,
james_watt,
johannes_gutenberg,
leonardo_da_vinci,
nikola_tesla,
thomas_edison,
tim_berners-lee,
wright_brothers,
